school_id,program_code,application_year,grade,choice_lower,choice_upper,requests
607,SN,2022,6,2,2,29
607,GE,2022,7,2,2,7
607,GE,2022,8,2,2,7
607,SN,2022,8,2,2,1
537,MS,2022,K,2,2,2
537,SE,2022,K,2,2,41
537,SN,2022,K,2,2,17
537,SE,2022,1,2,2,3
537,SN,2022,1,2,2,2
537,SN,2022,2,2,2,1
537,SN,2022,4,2,2,1
644,AF,2022,K,2,2,3
644,GE,2022,K,2,2,53
644,GE,2022,1,2,2,3
644,GE,2022,2,2,2,3
644,GE,2022,3,2,2,3
644,GE,2022,4,2,2,4
757,GE,2022,9,2,2,60
757,MM,2022,9,2,2,2
757,MS,2022,9,2,2,1
757,GE,2022,10,2,2,2
544,GE,2022,K,2,2,53
544,GE,2022,1,2,2,3
544,GE,2022,2,2,2,1
544,GE,2022,3,2,2,3
544,GE,2022,4,2,2,4
544,GE,2022,5,2,2,1
838,GE,2022,K,2,2,13
