school_id,program_code,grade,num_requests,choice_min,choice_max,ay
479,GE,1,13,1,1.0,25-26
479,GE,2,9,1,1.0,25-26
479,GE,3,13,1,1.0,25-26
479,GE,4,13,1,1.0,25-26
479,GE,5,21,1,1.0,25-26
479,GE,6,61,1,1.0,25-26
479,GE,7,8,1,1.0,25-26
479,GE,8,7,1,1.0,25-26
479,KE,K,32,1,1.0,25-26
479,KE,1,5,1,1.0,25-26
479,KN,K,13,1,1.0,25-26
479,KN,2,1,1,1.0,25-26
479,KN,5,1,1,1.0,25-26
405,AF,9,4,1,1.0,25-26
405,AF,10,2,1,1.0,25-26
405,ED,9,2,1,1.0,25-26
405,ED,11,0,1,1.0,25-26
405,GE,9,682,1,1.0,25-26
405,GE,10,29,1,1.0,25-26
405,GE,11,23,1,1.0,25-26
405,GE,12,12,1,1.0,25-26
405,MM,9,10,1,1.0,25-26
405,MM,11,1,1,1.0,25-26
405,MS,9,2,1,1.0,25-26
405,MS,10,0,1,1.0,25-26
405,MS,11,0,1,1.0,25-26
405,NX,12,2,1,1.0,25-26
405,SA,9,2,1,1.0,25-26
691,FB,K,13,1,1.0,25-26
691,FB,3,2,1,1.0,25-26
691,GE,TK,9,1,1.0,25-26
691,GE,K,12,1,1.0,25-26
691,GE,1,1,1,1.0,25-26
691,GE,3,1,1,1.0,25-26
691,GE,4,0,1,1.0,25-26
691,MM,K,7,1,1.0,25-26
691,MM,2,0,1,1.0,25-26
691,SB,K,19,1,1.0,25-26
691,SB,1,1,1,1.0,25-26
691,SB,2,1,1,1.0,25-26
691,SB,3,0,1,1.0,25-26
697,AF,9,5,1,1.0,25-26
697,AF,10,0,1,1.0,25-26
697,AF,11,1,1,1.0,25-26
697,CA,13,16,1,1.0,25-26
697,GE,9,1821,1,1.0,25-26
697,MM,9,14,1,1.0,25-26
697,MM,10,1,1,1.0,25-26
697,MS,9,3,1,1.0,25-26
697,MS,10,1,1,1.0,25-26
697,SA,9,3,1,1.0,25-26
697,SA,11,1,1,1.0,25-26
830,GE,TK,4,1,1.0,25-26
830,GE,K,1,1,1.0,25-26
830,GE,3,0,1,1.0,25-26
830,GE,4,0,1,1.0,25-26
708,AF,6,7,1,1.0,25-26
708,CN,6,13,1,1.0,25-26
708,GE,6,143,1,1.0,25-26
708,GE,7,1,1,1.0,25-26
708,GE,8,1,1,1.0,25-26
708,MM,6,2,1,1.0,25-26
853,CA,13,0,1,1.0,25-26
853,ED,9,1,1,1.0,25-26
853,ED,12,1,1,1.0,25-26
853,GE,9,24,1,1.0,25-26
853,GE,10,1,1,1.0,25-26
853,GE,11,1,1,1.0,25-26
853,GE,12,1,1,1.0,25-26
853,MM,9,2,1,1.0,25-26
853,MM,12,0,1,1.0,25-26
853,NS,9,0,1,1.0,25-26
853,NS,10,0,1,1.0,25-26
714,SE,K,17,1,1.0,25-26
714,SE,1,1,1,1.0,25-26
714,SN,K,23,1,1.0,25-26
714,SN,1,0,1,1.0,25-26
714,SN,2,0,1,1.0,25-26
714,SN,3,0,1,1.0,25-26
714,SN,4,2,1,1.0,25-26
714,SN,5,1,1,1.0,25-26
549,GE,TK,47,1,1.0,25-26
549,GE,K,27,1,1.0,25-26
549,GE,1,1,1,1.0,25-26
549,GE,2,0,1,1.0,25-26
549,GE,3,3,1,1.0,25-26
549,GE,4,0,1,1.0,25-26
549,GE,5,2,1,1.0,25-26
718,AF,K,0,1,1.0,25-26
718,AF,1,1,1,1.0,25-26
718,GE,TK,50,1,1.0,25-26
