ay,school_id,program_code,program_name
24-25,680,SE,SE: Spanish Immersion (Non-Native)
24-25,680,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,546,ED,ED: SDC - SOAR
24-25,546,GE,GE: General Education
24-25,546,MM,MM: SDC - Mild to Moderate
24-25,546,NX,NX: Newcomer Program
24-25,546,SA,SA: SDC - Extensive Services Autism Focus
24-25,559,AF,AF: SDC - Mild/Mod Autism Focus
24-25,559,CA,SDC Transition Program (CAT)
24-25,559,ED,ED: SDC - SOAR
24-25,559,GE,GE: General Education
24-25,559,MM,MM: SDC - Mild to Moderate
24-25,559,MS,MS: SDC - Extensive Services
24-25,559,NX,NX: Newcomer Program
24-25,562,AF,AF: SDC - Mild/Mod Autism Focus
24-25,562,CE,CE: Cantonese Immersion (All English)
24-25,562,CN,CN: Cantonese Immersion (Cantonese Speakers)
24-25,562,GE,GE: General Education
24-25,404,AF,AF: SDC - Mild/Mod Autism Focus
24-25,404,GE,GE: General Education
24-25,404,MM,MM: SDC - Mild to Moderate
24-25,404,MS,MS: SDC - Extensive Services
24-25,404,SA,SA: SDC - Extensive Services Autism Focus
24-25,575,GE,GE: General Education
24-25,575,SA,SA: SDC - Extensive Services Autism Focus
24-25,575,SB,SB: Spanish Biliteracy
24-25,589,GE,GE: General Education
24-25,589,SA,SA: SDC - Extensive Services Autism Focus
24-25,593,GE,GE: General Education
24-25,593,SB,SB: Spanish Biliteracy
24-25,453,GE,GE: General Education
24-25,453,SE,SE: Spanish Immersion (Non-Native)
24-25,453,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,614,CB,CB: Cantonese Biliteracy
24-25,614,GE,GE: General Education
24-25,614,MM,MM: SDC - Mild to Moderate
24-25,614,SB,SB: Spanish Biliteracy
24-25,607,AF,AF: SDC - Mild/Mod Autism Focus
24-25,607,CN,CN: Cantonese Immersion (Cantonese Speakers)
24-25,607,ED,ED: SDC - SOAR
24-25,607,GE,GE: General Education
24-25,607,MM,MM: SDC - Mild to Moderate
24-25,607,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,537,MS,MS: SDC - Extensive Services
24-25,537,SE,SE: Spanish Immersion (Non-Native)
24-25,537,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,644,AF,AF: SDC - Mild/Mod Autism Focus
24-25,644,GE,GE: General Education
24-25,757,AF,AF: SDC - Mild/Mod Autism Focus
24-25,757,GE,GE: General Education
24-25,757,MM,MM: SDC - Mild to Moderate
24-25,757,MS,MS: SDC - Extensive Services
24-25,544,GE,GE: General Education
24-25,544,MM,MM: SDC - Mild to Moderate
24-25,544,MS,MS: SDC - Extensive Services
24-25,838,GE,GE: General Education
24-25,838,ME,ME: Mandarin Immersion (Non-Native)
24-25,838,MN,MN: Mandarin Immersion (Mandarin Speakers)
24-25,838,SA,SA: SDC - Extensive Services Autism Focus
24-25,710,GE,GE: General Education
24-25,710,MM,MM: SDC - Mild to Moderate
24-25,664,AO,AO: SDC - Auditory/Oral
24-25,664,GE,GE: General Education
24-25,670,AF,AF: SDC - Mild/Mod Autism Focus
24-25,670,GE,GE: General Education
24-25,490,CB,CB: Cantonese Biliteracy
24-25,490,GE,GE: General Education
24-25,676,GE,GE: General Education
24-25,676,MS,MS: SDC - Extensive Services
24-25,476,NC,NC: Chinese Newcomer
24-25,634,ED,ED: SDC - SOAR
24-25,634,GE,GE: General Education
24-25,634,MM,MM: SDC - Mild to Moderate
24-25,634,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,479,GE,GE: General Education
24-25,479,KE,KE: Korean Immersion (Non-Native)
24-25,479,KN,KN: Korean Immersion (Korean Speakers)
24-25,405,AF,AF: SDC - Mild/Mod Autism Focus
24-25,405,ED,ED: SDC - SOAR
24-25,405,GE,GE: General Education
24-25,405,MM,MM: SDC - Mild to Moderate
24-25,405,MS,MS: SDC - Extensive Services
24-25,405,NX,NX: Newcomer Program
24-25,405,SA,SA: SDC - Extensive Services Autism Focus
24-25,691,FB,FB: Filipino FLES
24-25,691,GE,GE: General Education
24-25,691,MM,MM: SDC - Mild to Moderate
24-25,691,SB,SB: Spanish Biliteracy
24-25,697,AF,AF: SDC - Mild/Mod Autism Focus
24-25,697,CA,SDC Transition Program (CAT)
24-25,697,GE,GE: General Education
24-25,697,MM,MM: SDC - Mild to Moderate
24-25,697,MS,MS: SDC - Extensive Services
24-25,697,SA,SA: SDC - Extensive Services Autism Focus
24-25,830,GE,GE: General Education
24-25,708,AF,AF: SDC - Mild/Mod Autism Focus
24-25,708,CN,CN: Cantonese Immersion (Cantonese Speakers)
24-25,708,GE,GE: General Education
24-25,708,MM,MM: SDC - Mild to Moderate
24-25,708,MS,MS: SDC - Extensive Services
24-25,708,NX,NX: Newcomer Program
24-25,853,CA,SDC Transition Program (CAT)
24-25,853,ED,ED: SDC - SOAR
24-25,853,GE,GE: General Education
24-25,853,MM,MM: SDC - Mild to Moderate
24-25,853,NX,NX: Newcomer Program
24-25,714,SE,SE: Spanish Immersion (Non-Native)
24-25,714,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,549,GE,GE: General Education
24-25,718,AF,AF: SDC - Mild/Mod Autism Focus
24-25,718,GE,GE: General Education
24-25,950,GE,GE: General Education
24-25,950,MM,MM: SDC - Mild to Moderate
24-25,505,GE,GE: General Education
24-25,722,AF,AF: SDC - Mild/Mod Autism Focus
24-25,722,GE,GE: General Education
24-25,724,DS,Dual Language Spanish PK/TK
24-25,724,NS,NS: Spanish Newcomer
24-25,724,SE,SE: Spanish Immersion (Non-Native)
24-25,724,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,725,CA,SDC Transition Program (CAT)
24-25,725,ED,ED: SDC - SOAR
24-25,725,GE,GE: General Education
24-25,725,MM,MM: SDC - Mild to Moderate
