SchoolName,idSchool,Grade,Program,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+,Grand Total
Mission HS,725,9,SF,0,1,0,0,0,0,0.0,0.0,1.0
Mission HS,725,10,ED,1,0,0,0,0,0,0.0,0.0,1.0
Mission HS,725,10,GE,184,7,3,4,1,0,0.0,0.0,199.0
Mission HS,725,10,MM,5,0,0,0,1,0,0.0,0.0,6.0
Mission HS,725,10,MS,5,0,0,0,0,0,0.0,0.0,5.0
Mission HS,725,10,NX,34,0,0,0,0,0,0.0,0.0,34.0
Mission HS,725,10,SA,1,0,0,0,0,0,0.0,0.0,1.0
Mission HS,725,10,SF,4,0,0,0,0,0,0.0,0.0,4.0
Mission HS,725,11,ED,1,0,0,0,0,0,0.0,0.0,1.0
Mission HS,725,11,GE,201,4,2,2,2,0,0.0,0.0,211.0
Mission HS,725,11,MM,4,0,0,0,0,0,0.0,0.0,4.0
Mission HS,725,11,MS,8,0,1,0,0,0,0.0,0.0,9.0
Mission HS,725,11,NX,94,0,0,0,0,0,0.0,0.0,94.0
Mission HS,725,11,SF,7,0,0,0,0,0,0.0,0.0,7.0
Mission HS,725,12,ED,3,0,0,0,0,0,0.0,0.0,3.0
Mission HS,725,12,GE,193,1,0,0,0,0,0.0,0.0,194.0
Mission HS,725,12,MM,1,0,0,0,0,0,0.0,0.0,1.0
Mission HS,725,12,MS,4,0,0,0,0,0,0.0,0.0,4.0
Mission HS,725,12,NX,95,0,0,0,0,0,0.0,0.0,95.0
Mission HS,725,12,SA,3,0,0,0,0,0,0.0,0.0,3.0
Mission HS,725,13,CA,6,4,1,0,0,0,0.0,0.0,11.0
Monroe ES,729,KG,CB,41,16,22,7,5,10,3.0,17.0,121.0
Monroe ES,729,KG,GE,17,70,25,37,15,15,15.0,280.0,474.0
Monroe ES,729,KG,SE,23,12,13,5,11,7,5.0,204.0,280.0
Monroe ES,729,KG,SN,28,20,12,9,6,7,3.0,22.0,107.0
Monroe ES,729,1,CB,27,1,2,0,1,0,0.0,1.0,32.0
Monroe ES,729,1,GE,22,4,0,2,0,1,0.0,6.0,35.0
Monroe ES,729,1,SE,18,1,0,0,0,0,0.0,3.0,22.0
Monroe ES,729,1,SN,31,1,0,0,0,0,0.0,0.0,32.0
Monroe ES,729,2,CB,25,1,0,0,0,0,0.0,0.0,26.0
Monroe ES,729,2,GE,25,3,1,1,0,0,0.0,2.0,32.0
Monroe ES,729,2,SN,43,2,1,0,1,0,0.0,0.0,47.0
Monroe ES,729,3,CB,22,0,1,0,0,0,0.0,1.0,24.0
Monroe ES,729,3,GE,22,1,0,1,0,0,1.0,5.0,30.0
Monroe ES,729,3,SN,47,1,3,0,0,0,0.0,0.0,51.0
Monroe ES,729,4,CB,25,0,3,0,0,0,0.0,0.0,28.0
Monroe ES,729,4,GE,21,2,0,0,0,0,0.0,0.0,23.0
Monroe ES,729,4,SN,45,1,0,0,0,0,0.0,0.0,46.0
Monroe ES,729,5,CB,27,0,0,1,0,0,0.0,1.0,29.0
Monroe ES,729,5,GE,25,1,1,1,4,0,0.0,2.0,34.0
Monroe ES,729,5,SN,43,1,0,0,0,0,0.0,0.0,44.0
Moscone (George R) ES,723,KG,CB,11,2,8,3,6,0,4.0,18.0,52.0
Moscone (George R) ES,723,KG,GE,8,22,13,7,3,10,8.0,231.0,302.0
Moscone (George R) ES,723,KG,SB,36,11,13,7,5,6,4.0,9.0,91.0
Moscone (George R) ES,723,1,CB,20,0,0,0,2,1,1.0,0.0,24.0
Moscone (George R) ES,723,1,GE,18,2,0,0,1,2,0.0,2.0,25.0
Moscone (George R) ES,723,1,SB,24,0,0,0,0,0,0.0,0.0,24.0
Moscone (George R) ES,723,2,CB,21,1,0,0,0,0,0.0,0.0,22.0
Moscone (George R) ES,723,2,GE,22,0,0,0,1,0,0.0,2.0,25.0
Moscone (George R) ES,723,2,SB,22,0,1,0,0,0,0.0,0.0,23.0
Moscone (George R) ES,723,3,CB,22,0,0,0,0,0,0.0,1.0,23.0
Moscone (George R) ES,723,3,GE,22,0,0,0,0,0,0.0,3.0,25.0
Moscone (George R) ES,723,3,SB,22,0,0,0,0,0,0.0,0.0,22.0
Moscone (George R) ES,723,4,CB,20,0,0,0,0,0,0.0,0.0,20.0
Moscone (George R) ES,723,4,GE,22,0,0,0,0,0,0.0,0.0,22.0
Moscone (George R) ES,723,4,SB,22,1,0,0,0,0,0.0,0.0,23.0
Moscone (George R) ES,723,5,CB,23,3,0,0,0,0,0.0,0.0,26.0
Moscone (George R) ES,723,5,GE,20,1,0,0,0,3,0.0,0.0,24.0
Moscone (George R) ES,723,5,SB,19,0,0,0,0,0,0.0,0.0,19.0
Muir (John) ES,650,KG,GE,4,7,9,1,5,6,3.0,199.0,234.0
Muir (John) ES,650,KG,SB,2,1,1,0,0,0,0.0,5.0,9.0
Muir (John) ES,650,1,GE,28,0,0,0,2,4,1.0,12.0,47.0
Muir (John) ES,650,1,SB,13,1,0,0,0,0,0.0,0.0,14.0
Muir (John) ES,650,2,GE,27,4,1,3,0,1,1.0,2.0,39.0
Muir (John) ES,650,2,SB,19,0,0,0,0,0,0.0,0.0,19.0
Muir (John) ES,650,3,GE,15,0,3,0,1,0,0.0,4.0,23.0
Muir (John) ES,650,3,SB,20,0,0,0,0,0,0.0,0.0,20.0
Muir (John) ES,650,4,GE,27,0,0,1,0,0,0.0,0.0,28.0
Muir (John) ES,650,4,SB,14,0,0,0,0,0,0.0,0.0,14.0
Muir (John) ES,650,5,GE,23,0,1,0,1,0,0.0,0.0,25.0
Muir (John) ES,650,5,SB,16,0,0,0,0,0,0.0,0.0,16.0
New Traditions ES,735,KG,GE,57,44,72,53,71,65,46.0,588.0,996.0
New Traditions ES,735,1,GE,51,2,6,5,3,2,1.0,14.0,84.0
New Traditions ES,735,2,GE,48,3,3,1,3,0,1.0,11.0,70.0
New Traditions ES,735,3,GE,44,4,3,1,1,1,2.0,6.0,62.0
New Traditions ES,735,4,GE,43,1,1,1,3,0,2.0,2.0,53.0
New Traditions ES,735,5,GE,43,1,0,1,2,2,0.0,3.0,52.0
Noriega TK,928,TK,GE,85,24,22,13,6,12,6.0,22.0,190.0
O'Connell (John) HS,651,9,GE,118,105,120,108,37,25,15.0,34.0,562.0
O'Connell (John) HS,651,9,MM,1,2,1,1,0,0,0.0,1.0,6.0
O'Connell (John) HS,651,9,SN,2,2,1,0,0,1,0.0,0.0,6.0
O'Connell (John) HS,651,10,GE,99,3,1,1,2,1,0.0,0.0,107.0
O'Connell (John) HS,651,10,MM,6,0,0,0,0,0,0.0,0.0,6.0
O'Connell (John) HS,651,10,SN,1,1,0,0,0,0,0.0,0.0,2.0
O'Connell (John) HS,651,11,GE,84,0,2,2,1,0,0.0,0.0,89.0
O'Connell (John) HS,651,11,MM,3,0,0,0,0,0,0.0,0.0,3.0
O'Connell (John) HS,651,11,SN,13,0,0,0,0,0,0.0,0.0,13.0
O'Connell (John) HS,651,12,GE,115,1,0,2,0,0,0.0,0.0,118.0
O'Connell (John) HS,651,12,MM,1,0,0,0,0,0,0.0,0.0,1.0
O'Connell (John) HS,651,13,CA,2,3,0,0,0,0,0.0,0.0,5.0
Ortega (Jose) ES,746,KG,GE,21,25,17,15,12,8,18.0,380.0,496.0
Ortega (Jose) ES,746,KG,ME,43,26,12,18,10,15,12.0,243.0,379.0
Ortega (Jose) ES,746,KG,MN,26,11,3,3,2,1,2.0,9.0,57.0
Ortega (Jose) ES,746,1,GE,41,1,2,1,2,0,1.0,8.0,56.0
Ortega (Jose) ES,746,1,ME,17,6,0,0,0,1,1.0,3.0,28.0
Ortega (Jose) ES,746,1,MN,18,0,0,0,0,0,0.0,0.0,18.0
Ortega (Jose) ES,746,2,GE,46,1,1,1,0,0,0.0,4.0,53.0
Ortega (Jose) ES,746,2,MN,23,3,0,1,0,0,0.0,0.0,27.0
Ortega (Jose) ES,746,3,GE,45,0,2,0,0,0,0.0,5.0,52.0
Ortega (Jose) ES,746,3,MN,19,0,0,0,1,1,0.0,0.0,21.0
Ortega (Jose) ES,746,4,GE,42,1,0,0,0,0,0.0,1.0,44.0
Ortega (Jose) ES,746,4,MN,23,0,0,0,0,0,0.0,0.0,23.0
Ortega (Jose) ES,746,5,GE,44,0,0,0,3,0,1.0,1.0,49.0
Ortega (Jose) ES,746,5,MN,24,0,0,0,0,0,0.0,0.0,24.0
Parker (Jean) ES,638,KG,CB,11,22,28,3,8,1,5.0,8.0,86.0
Parker (Jean) ES,638,KG,GE,9,18,7,22,13,10,9.0,229.0,317.0
Parker (Jean) ES,638,1,CB,21,1,1,0,0,0,0.0,1.0,24.0
Parker (Jean) ES,638,1,GE,12,0,0,0,1,0,0.0,4.0,17.0
Parker (Jean) ES,638,2,CB,23,2,5,1,0,0,0.0,0.0,31.0
Parker (Jean) ES,638,2,GE,20,3,0,5,1,2,0.0,3.0,34.0
Parker (Jean) ES,638,3,CB,22,0,0,3,1,0,0.0,0.0,26.0
Parker (Jean) ES,638,3,GE,22,1,0,0,3,0,1.0,2.0,29.0
Parker (Jean) ES,638,4,CB,19,4,2,1,0,1,1.0,0.0,28.0
Parker (Jean) ES,638,4,GE,15,0,2,4,2,0,0.0,1.0,24.0
Parker (Jean) ES,638,5,CB,20,3,4,3,0,0,0.0,0.0,30.0
Parker (Jean) ES,638,5,GE,17,1,1,3,2,0,2.0,1.0,27.0
Parks (Rosa) ES,786,KG,GE,20,11,20,8,6,6,4.0,326.0,401.0
Parks (Rosa) ES,786,KG,JE,25,8,5,10,7,6,9.0,225.0,295.0
Parks (Rosa) ES,786,KG,JN,7,6,3,1,2,3,3.0,4.0,29.0
