Grade,Program,SchoolName,1st,2nd,3rd,4th,5th,6-10,6,7,8,9,10,11-25,26+,Grand Total
6th Grade,SDC - Social-Emotional/Behavioral Enhanced,Presidio MS,3,3,1,,,0,,,,,,0,0,7
6th Grade,Spanish Immersion (Spanish),Buena Vista Horace Mann K-8,123,46,22,8,1,8,4,2,,2,,0,0,208
6th Grade,Spanish Immersion (Spanish),Everett MS,41,32,29,8,1,2,1,1,,,,0,0,113
6th Grade,Spanish Immersion (Spanish),Hoover (Herbert) MS,46,25,8,6,1,1,1,,,,,0,0,87
6th Grade,Spanish Immersion (Spanish),Lick (James) MS,40,41,24,6,2,1,,1,,,,0,0,114
9th Grade,Gen Ed,Asawa (Ruth) SOTA HS,393,163,91,58,36,29,7,8,6,4,4,4,0,774
9th Grade,Gen Ed,Balboa HS,308,313,326,248,163,121,67,41,8,4,1,3,0,1482
9th Grade,Gen Ed,Burton (Phillip and Sala) HS,182,187,170,106,68,88,38,21,13,13,3,3,0,804
9th Grade,Gen Ed,Galileo HS,381,316,369,329,197,111,67,25,15,2,2,0,0,1703
9th Grade,Gen Ed,Independence HS,1,,,,,0,,,,,,0,0,1
9th Grade,Gen Ed,Jordan (June) HS,55,72,66,37,13,36,10,6,8,9,3,13,0,292
9th Grade,Gen Ed,Lincoln (Abraham) HS,876,1321,602,205,75,24,16,5,1,1,1,0,0,3103
9th Grade,Gen Ed,Lowell HS,1752,555,306,139,63,27,14,5,3,2,3,3,0,2845
9th Grade,Gen Ed,Marshall (Thurgood) HS,74,52,71,80,44,30,15,4,2,2,7,13,0,364
9th Grade,Gen Ed,Mission HS,146,163,159,119,84,117,61,24,19,11,2,3,0,791
9th Grade,Gen Ed,O'Connell (John) HS,110,101,105,104,32,65,26,10,16,5,8,7,0,524
9th Grade,Gen Ed,The Academy - SF @ McAteer HS,56,64,76,90,57,99,45,33,8,3,10,5,0,447
9th Grade,Gen Ed,Wallenberg (Raoul) HS,103,204,229,276,176,122,78,30,5,9,,5,0,1115
9th Grade,Gen Ed,Washington (George) HS,303,653,934,381,122,56,29,18,5,3,1,3,0,2452
9th Grade,Gen Ed Newcomer,SF International HS,6,8,4,1,3,3,,,,1,2,1,0,26
9th Grade,Newcomer,Galileo HS,4,3,,,,0,,,,,,0,0,7
9th Grade,Newcomer,Marshall (Thurgood) HS,3,5,,1,1,0,,,,,,0,0,10
9th Grade,Newcomer,Mission HS,3,2,1,,,0,,,,,,0,0,6
9th Grade,Newcomer,SF International HS,10,7,2,1,,1,1,,,,,0,0,21
9th Grade,Newcomer,Washington (George) HS,1,,,,,0,,,,,,0,0,1
9th Grade,SDC - Auditory/Oral,The Academy - SF @ McAteer HS,3,,,,,0,,,,,,0,0,3
9th Grade,SDC - Mild to Moderate,Asawa (Ruth) SOTA HS,1,,1,,,1,,,,1,,1,0,4
9th Grade,SDC - Mild to Moderate,Balboa HS,9,9,2,1,,1,,1,,,,0,0,22
9th Grade,SDC - Mild to Moderate,Burton (Phillip and Sala) HS,7,7,2,,,1,1,,,,,0,0,17
9th Grade,SDC - Mild to Moderate,Galileo HS,3,3,2,1,2,1,,1,,,,0,0,12
9th Grade,SDC - Mild to Moderate,Jordan (June) HS,3,2,4,1,,1,,,1,,,0,0,11
9th Grade,SDC - Mild to Moderate,Lincoln (Abraham) HS,10,13,5,1,,1,1,,,,,0,0,30
9th Grade,SDC - Mild to Moderate,Lowell HS,12,2,4,1,,0,,,,,,0,0,19
9th Grade,SDC - Mild to Moderate,Marshall (Thurgood) HS,1,,1,1,,0,,,,,,0,0,3
9th Grade,SDC - Mild to Moderate,Mission HS,2,7,3,2,,1,,,,1,,0,0,15
